url,label,source,last_update,accuracy,transparency,type
notiziepericolose.blogspot.it,false satire,bufale,2018,1,1,unreliable
ilmattoquotidiano.it,false satire,bufale,2018,1,1,unreliable
ilmessaggio.it,false satire,bufale,2018,1,1,unreliable
ilfattoquotidaino.it,false satire,bufale,2018,1,1,unreliable
ilquotidaino.wordpress.com,false satire,bufale,2018,1,1,unreliable
liberogiornale.com,false satire,bufale,2018,1,1,unreliable
notiziariosegreto.wordpress.com,false satire,bufale,2018,1,1,unreliable
secretnews.fr,false satire,bufale,2018,1,1,unreliable
superbamente.com,false satire,bufale,2018,1,1,unreliable
worldnewsdailyreport.com,false satire,bufale,2018,1,1,unreliable
fonteverificata.it,false satire,bufale,2018,1,1,unreliable
dionidream.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
lastella.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable
segnidalcielo.it,medical and scientific disinformation,bufale,2018,1,1,unreliable
pianetablunews.wordpress.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
saltoquantico.org,medical and scientific disinformation,bufale,2018,1,1,unreliable
autismovaccini.org,medical and scientific disinformation,bufale,2018,1,1,unreliable
jedanews.it/blog,medical and scientific disinformation,bufale,2018,1,1,unreliable
naturalnews.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
notiziespericolate.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
viaggialowcost.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable
sadefenza.blogspot.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
renovatio21.com,medical and scientific disinformation,bufale,2018,1,1,unreliable
devinformarti.blogspot.it/?m=1,political disinformation,bufale,2018,1,1,unreliable
imolaoggi.it,political disinformation,bufale,2018,1,1,unreliable
scenarieconomici.it,political disinformation,bufale,2018,1,1,unreliable
voxnews.info,political disinformation,bufale,2018,1,1,unreliable
informarexresistere.fr,political disinformation,bufale,2018,1,1,unreliable
breaknotizie.com,political disinformation,bufale,2018,1,1,unreliable
direttanews24.com,political disinformation,bufale,2018,1,1,unreliable
fascinazione.info,political disinformation,bufale,2018,1,1,unreliable
tg5stelle.it,political disinformation,bufale,2018,1,1,unreliable
blogopenyoureyes.altervista.org,political disinformation,bufale,2018,1,1,unreliable
ilbazarinformazione.blogspot.it,political disinformation,bufale,2018,1,1,unreliable
informare.over-blog.it,political disinformation,bufale,2018,1,1,unreliable
notizieinmovimentonews.blogspot.it,political disinformation,bufale,2018,1,1,unreliable
tg24-ore.com,political disinformation,bufale,2018,1,1,unreliable
informaresenzacensure.blogspot.com,political disinformation,bufale,2018,1,1,unreliable
byoblu.com,political disinformation,bufale,2018,1,1,unreliable
mag24.es,political disinformation,bufale,2018,1,1,unreliable
iocritico.com,scandal hoax,bufale,2018,1,1,unreliable
sostenitori.info,scandal hoax,bufale,2018,1,1,unreliable
irresponsabile.com,scandal hoax,bufale,2018,1,1,unreliable
aidaa-animaliambiente.blogspot.it,scandal hoax,bufale,2018,1,1,unreliable
thuglifevideos.com,scandal hoax,bufale,2018,1,1,unreliable
yournewswire.com,scandal hoax,bufale,2018,1,1,unreliable
maurizioblondet.it,scandal hoax,bufale,2018,1,1,unreliable
tgnewsitalia.it/wp,clickbait,bufale,2018,2,2,reliable
vnews24.it,clickbait,bufale,2018,2,2,reliable
internapoli.it,clickbait,bufale,2018,2,2,reliable
americablog.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
commondreams.org,clickbait,columbia_journalism_review,2021-04,2,2,reliable
dailycaller.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
dailykos.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
elitereaders.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
endtime.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
lifezette.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
livevote.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
lovethispic.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
meanlefthook.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
occupyliberals.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
patriotchronicle.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
rawstory.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
remedydaily.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
twitchy.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable
bigpzone.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable
wideawakeamerica.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable
redflagnews.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable
amusmentic.com,clickbait,zimdars,2016,2,2,reliable
automotostar.com,clickbait,zimdars,2016,2,2,reliable
chicksontheright.com,clickbait,zimdars,2016,2,2,reliable
educateinspirechange.org/health,clickbait,zimdars,2016,2,2,reliable
heatst.com,clickbait,zimdars,2016,2,2,reliable
indiaarising.com,clickbait,zimdars,2016,2,2,reliable
liberalamerica.org,clickbait,zimdars,2016,2,2,reliable
uslifetoday.com,clickbait,zimdars,2016,2,2,reliable
usuncut.com,clickbait,zimdars,2016,2,2,reliable
viraltube.nl,clickbait,zimdars,2016,2,2,reliable
yournationnews.com,clickbait,zimdars,2016,2,2,reliable
sulatestagiannilannes.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
tmcrew.org,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
tanker-enemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
tankerenemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
nocensura.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
sapereeundovere.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
luogocomune.net/lc,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
disinformazione.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
centrometeoitaliano.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
informatitalia.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
signoraggio.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
albainternazionale.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/oggi24ore,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/scienza-di-confine-188189217954979,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/stopinvasioneclandestina,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/noncielodicono,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/robyfanpage.it/?ref=br_rs,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/sardegnatoday,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/sadefenza,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
twitter.com/radiosavana?ref_src=twsrc%5egoogle%7ctwcamp%5eserp%7ctwgr%5eauthor,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/quello-che-non-ci-dicono-107884204213182,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
facebook.com/websocialtv,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
twitter.com/socialtvntw,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable
anno3000.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable
corrieredelcorsaro.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
gazzettadellasera.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
gazzettinoweb.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable
ilcazzoquotidiano.altervista.org/blog,misleading,bufalopedia,2020-05-05,2,1,unreliable
notiziepericolose.blogspot.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
facebook.com/ilfalloquotidiano,misleading,bufalopedia,2020-05-05,2,1,unreliable
ilgiornaliere.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
ilgiomale.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
inews24.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
ioco.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable
lavocea5stelle.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable
liberogiornale.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
news24roma.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable
news24tg.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
news24europa.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
notiziea5stelle.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
panorana.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
paperera.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
sky24ore.it,misleading,bufalopedia,2020-05-05,2,1,unreliable
strafattiquotidiani.wordpress.com,misleading,bufalopedia,2020-05-05,2,1,unreliable
ilgiornaledeiticinesi.info,satire,bufalopedia,2020-05-05,1,2,reliable
lercio.it,satire,bufalopedia,2020-05-05,1,2,reliable
ticinoinforna.com,satire,bufalopedia,2020-05-05,1,2,reliable
twitter.com/cbugliano,satire,bufalopedia,2020-05-05,1,2,reliable
twitter.com/vigilevittorino,satire,bufalopedia,2020-05-05,1,2,reliable
theonion.com,satire,bufalopedia,2020-05-05,1,2,reliable
aceflashman.wordpress.com,satire,columbia_journalism_review,2021-04,1,2,reliable
actualidadpanamericana.com,satire,columbia_journalism_review,2021-04,1,2,reliable
awazetribune.com,satire,columbia_journalism_review,2021-04,1,2,reliable
